BeitragsID,Titel,Text,main_category_level1,URL,Erstellt,level2_unfavourable_switching,level2_new_traffic_light_addition,level2_remove_traffic_light,level2_lighting_is_missing,level2_faulty_lighting,level2_signage_of_cycle_path_missing_poorly_visible,level2_marking_of_cycle_path_missing_poorly_visible,level2_no_or_too_few_parking_facilities,level2_unsuitable_parking_facilities,level2_obstruction_due_to_stationary_objects,level2_cycle_path_permanently_parked,level2_cycle_path_often_blocked,level2_access_to_cycle_path_only_with_detour,level2_open_one-way_street_for_cycling,level2_check_mandatory_use_of_cycle_path,level2_safe_road_crossing_is_missing,level2_lack_of_visibility,level2_unclear_traffic_routing,level2_new_cycle_path,level2_cycle_path_use_in_both_directions,level2_set_up_road_with_priority_for_cycling,level2_speed_limit,level2_rule-adverse_behaviour,level2_unevenness_flaws_or_cracks,level2_too_narrow_width,level2_repeatedly_dirt_or_water_on_cycle_path,level2_passages_with_excessive_height_differences,level2_other_notices,level2_missing_local_reference,level2_deficiency_report,Dataset,level1_traffic_lights,level1_lighting,level1_signage,level1_bicycle_parking,level1_obstacles,level1_cycling_traffic_management,level1_cycle_path_quality,level1_misc
B1440,Radwege/ Radparkplätze,,level1_bicycle_parking,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/radwege-radparkplaetze,2017-09-13T08:08:40+02:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,0,0,0,1,0,0,0,0
B1441,Poller und Schilder - gefährliche Hindernisse,"Entlang der Godesberger Allee gibt es zahlreiche Eisen Poller zwischen dem Rad und Fussweg - diese sind extrem gefährlich wenn man anderen Radfahrern ausweicht - oder auch Autofahrern ausweicht, die von der B9 über den Radweg abbiegen. Diese Poller sollten zügig entfernt werden.",level1_obstacles,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/poller-und-schilder-gefaehrliche-hindernisse,2017-09-13T08:28:28+02:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,0,0,0,0,1,0,0,0
B1442,Godesberger Allee - Radwege offiziell für beidseitiges befahren freigeben und ausweisen.,Die Radwege beidseitig der Godesberger Allee sind hinreichend breit für ein befahren in beide Richtungen. Für Radfahrer die ausschließlich auf einer Seite der Godesberger Allee von A nach B und zurück müssen - ist ein queren der B9 um die korrekte Fahrrichtung einzuhalten unrealistisch - es ist bereits gängige Praxis das der Radweg in beide Richtungen befahren wird - dies sollte auch so gekennzeichnet werden. Danke!,level1_cycling_traffic_management,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/godesberger-allee-radwege-offiziell-fuer-beidseitiges-befahren-freigeben,2017-09-13T08:34:07+02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,B,0,0,0,0,0,1,0,0
B1443,Sicherer Radweg auf der ganzen Kölnstraße,"Auf der Kölnstraße gibt es nur in Teilabschnitten einen Radweg, und der ist viel zu schmal, nicht geschützt vor darauf parkenden Autos. Hier wird ein durchgehender Radweg gebraucht in beiden Richtungen, der nicht von Autos zugestellt werden kann, besonders kritisch die Bereiche vor den Ampeln.",level1_cycling_traffic_management,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/sicherer-radweg-auf-der-ganzen-koelnstrasse,2017-09-13T09:20:30+02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,B,0,0,0,0,0,1,0,0
B1444,Radweg/Fußweg an der Promenade löcherig,"Hallo, der Radweg an der Rhein-Promenade ist recht löchrig, bzw. auch der Fußweg. Da man als Radfahrer manchmal auch ein Stückchen auf dem Fußweg fährt (um entgegenkommenden Radfahrern auszuweichen, wäre eine Ausbesserung hier willkommen.",level1_cycle_path_quality,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/radwegfussweg-der-promenade-loecherig,2017-09-13T09:27:12+02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,B,0,0,0,0,0,0,1,0
B1445,Neue Fahrradstraßen ohne Unterbrechung gestalten,"Im Bereich aller neuen Fahrradstraßen in Kessenich/Südstadt dürfen die Fahrradstraßen nicht ständig durch querende Straßen unterbrochen werden (Beispiel Lessingstraße etc.). Was soll das? Vor allem aber muss das Zuparken der Fahrradstraßen (bis rund um die Ecken) aufhören. Falsch parkende Autos, die Fahrradstraßen und Radwege blockieren, müssen abgeschleppt werden, denn sie gefährden andere Verkehrsteilnehmer.",level1_cycling_traffic_management,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/neue-fahrradstrassen-ohne-unterbrechung-gestalten,2017-09-13T09:28:06+02:00,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,0,0,0,0,1,1,0,0
B1446,Großes Loch in der Straße!,"Hallo, hier befindet sich ein großes Loch in der Straße, gefährlich für Radfahrer. Wenn man nicht drauf achtet beim fahren, könnte man stürzen.",level1_cycle_path_quality,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/grosses-loch-der-strasse,2017-09-13T09:29:43+02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,B,0,0,0,0,0,0,1,0
B1447,Farradstraße,"Moselweg, Naheweg, Saarweg, Gierenweg sollten an die neuen Fahrradstraßen (Lahnweg etc.) angeschlossen werden, d.h. auch Fahrradstraßen werden. Mindestens muss aber der Moselweg in beiden Richtungen für den Radverkehr geöffnet werden, da der Radweg an der Bahnlinie um die Dauerbaustelle rund um die neue DB - Station seit fast 2 Jahren nicht benutzt werden kann. Auch in den benannten Straßen müssen dringend die falschparkenden Autos verschwinden.",level1_cycling_traffic_management,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/farradstrasse,2017-09-13T09:34:28+02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,B,0,0,0,0,0,1,0,0
B1448,Straße bis zur Unkenntlichkeit kaputt,"wie im Betreff beschrieben ist der rechte Fahrbahnrand so gut wie nicht befahrbar, da extrem beschädigt.",level1_cycle_path_quality,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/strasse-bis-zur-unkenntlichkeit-kaputt,2017-09-13T09:50:35+02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,B,0,0,0,0,0,0,1,0
B1449,gefährliche Kreuzung,"nach wie vor eine gefährliche Kreuzung für Radfahrer, kommend aus Richtung Bad Godesberg. Man hat vor Monaten ein Vorfahrtachten-Schild für Autofahrer, die aus dem Tunnel kommen, aufgestellt. Dies empfinde ich jedoch als nicht ausreichend, da es nach wie vor zu gefährlichen Situationen kommt!!",level1_cycling_traffic_management,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/gefaehrliche-kreuzung,2017-09-13T09:54:19+02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,B,0,0,0,0,0,1,0,0
